user_input,mood_type,book
I feel anxious right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I feel anxious,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel anxious right now,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel anxious recently,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel anxious,socially,How to Win Friends and Influence People by Dale Carnegie
I feel anxious,socially,How to Win Friends and Influence People by Dale Carnegie
I feel anxious.,socially,The Art of Gathering by Priya Parker
I feel anxious today,spiritually,The Power of Now by Eckhart Tolle
I feel anxious.,socially,The Art of Gathering by Priya Parker
I feel anxious right now,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel anxious right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I feel anxious right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I feel anxious right now,spiritually,The Power of Now by Eckhart Tolle
I feel anxious.,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I feel anxious today,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel anxious recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I feel anxious,spiritually,The Power of Now by Eckhart Tolle
I feel anxious lately,mentally,Atomic Habits by James Clear
I feel anxious right now,spiritually,The Power of Now by Eckhart Tolle
I feel anxious lately,emotionally,Emotional Intelligence by Daniel Goleman
I feel anxious lately,mentally,Atomic Habits by James Clear
I feel anxious lately,mentally,Atomic Habits by James Clear
I feel anxious today,socially,The Art of Gathering by Priya Parker
I feel anxious.,socially,The Art of Gathering by Priya Parker
I feel anxious,spiritually,Reclaim Your Heart by Yasmin Mogahed
I am stressed.,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed today,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed right now,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed right now,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed.,mentally,Atomic Habits by James Clear
I am stressed recently,mentally,Atomic Habits by James Clear
I am stressed,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed today,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed today,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed recently,physically,Why We Sleep by Matthew Walker
I am stressed recently,mentally,Atomic Habits by James Clear
I am stressed.,physically,Why We Sleep by Matthew Walker
I am stressed right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed lately,mentally,Atomic Habits by James Clear
I am stressed today,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed today,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed today,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed.,mentally,Atomic Habits by James Clear
I am stressed recently,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed today,physically,Why We Sleep by Matthew Walker
I am stressed right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed right now,physically,Why We Sleep by Matthew Walker
I am stressed right now,physically,Why We Sleep by Matthew Walker
I am stressed,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed,mentally,Atomic Habits by James Clear
I am stressed today,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed today,mentally,Atomic Habits by James Clear
I am stressed,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed.,mentally,Atomic Habits by James Clear
I am stressed recently,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed right now,mentally,Atomic Habits by James Clear
I am stressed,mentally,Atomic Habits by James Clear
I am stressed right now,physically,Why We Sleep by Matthew Walker
I am stressed recently,physically,Why We Sleep by Matthew Walker
I am stressed lately,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed lately,physically,Why We Sleep by Matthew Walker
I am stressed right now,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed.,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed,physically,Why We Sleep by Matthew Walker
I am stressed lately,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed right now,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed,physically,Why We Sleep by Matthew Walker
I am stressed.,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed lately,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed lately,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed right now,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed right now,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed,physically,Why We Sleep by Matthew Walker
I am stressed right now,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed today,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed,mentally,Atomic Habits by James Clear
I am stressed.,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed today,physically,Why We Sleep by Matthew Walker
I am stressed recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed recently,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed right now,mentally,Atomic Habits by James Clear
I am stressed lately,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed lately,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed today,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed recently,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed lately,physically,Why We Sleep by Matthew Walker
I am stressed today,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed.,mentally,Atomic Habits by James Clear
I am stressed right now,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed,mentally,Atomic Habits by James Clear
I am stressed today,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed right now,mentally,Atomic Habits by James Clear
I am stressed right now,mentally,Atomic Habits by James Clear
I am stressed recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed right now,physically,Why We Sleep by Matthew Walker
I am stressed recently,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed.,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed.,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed lately,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed recently,mentally,Atomic Habits by James Clear
I am stressed lately,mentally,Atomic Habits by James Clear
I am stressed recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed,physically,Why We Sleep by Matthew Walker
I am stressed.,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed lately,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed.,emotionally,Healing the Shame That Binds You by John Bradshaw
I am stressed right now,physically,Why We Sleep by Matthew Walker
I am stressed lately,emotionally,Emotional Intelligence by Daniel Goleman
I am stressed,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am stressed lately,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am stressed lately,mentally,Atomic Habits by James Clear
I am stressed right now,physically,Why We Sleep by Matthew Walker
I am stressed lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely today,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely today,spiritually,The Power of Now by Eckhart Tolle
I feel lonely recently,spiritually,The Power of Now by Eckhart Tolle
I feel lonely lately,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely right now,spiritually,The Power of Now by Eckhart Tolle
I feel lonely today,socially,The Art of Gathering by Priya Parker
I feel lonely today,socially,The Art of Gathering by Priya Parker
I feel lonely.,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely recently,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely lately,socially,The Art of Gathering by Priya Parker
I feel lonely.,socially,The Art of Gathering by Priya Parker
I feel lonely today,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely today,spiritually,The Power of Now by Eckhart Tolle
I feel lonely,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely today,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely right now,spiritually,The Power of Now by Eckhart Tolle
I feel lonely.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely today,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely,socially,The Art of Gathering by Priya Parker
I feel lonely today,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely today,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely right now,spiritually,The Power of Now by Eckhart Tolle
I feel lonely right now,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely today,socially,The Art of Gathering by Priya Parker
I feel lonely today,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely.,socially,The Art of Gathering by Priya Parker
I feel lonely,spiritually,The Power of Now by Eckhart Tolle
I feel lonely right now,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely lately,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely today,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely,socially,The Art of Gathering by Priya Parker
I feel lonely lately,socially,The Art of Gathering by Priya Parker
I feel lonely,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely lately,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely.,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely lately,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely today,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely,socially,The Art of Gathering by Priya Parker
I feel lonely recently,spiritually,The Power of Now by Eckhart Tolle
I feel lonely right now,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely lately,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely recently,socially,The Art of Gathering by Priya Parker
I feel lonely.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely lately,socially,The Art of Gathering by Priya Parker
I feel lonely lately,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely recently,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely right now,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely today,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely recently,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely recently,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely.,spiritually,The Power of Now by Eckhart Tolle
I feel lonely,spiritually,The Power of Now by Eckhart Tolle
I feel lonely,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely lately,socially,The Art of Gathering by Priya Parker
I feel lonely right now,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely.,socially,The Art of Gathering by Priya Parker
I feel lonely recently,spiritually,The Power of Now by Eckhart Tolle
I feel lonely.,spiritually,The Power of Now by Eckhart Tolle
I feel lonely recently,socially,The Art of Gathering by Priya Parker
I feel lonely.,spiritually,The Power of Now by Eckhart Tolle
I feel lonely right now,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely,socially,How to Win Friends and Influence People by Dale Carnegie
I feel lonely today,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely right now,spiritually,The Power of Now by Eckhart Tolle
I feel lonely lately,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely recently,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely right now,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely.,spiritually,The Power of Now by Eckhart Tolle
I feel lonely today,spiritually,The Power of Now by Eckhart Tolle
I feel lonely right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely today,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely right now,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely.,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely today,socially,The Art of Gathering by Priya Parker
I feel lonely today,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely recently,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely.,socially,The Art of Gathering by Priya Parker
I feel lonely today,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely today,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely recently,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely recently,emotionally,Emotional Intelligence by Daniel Goleman
I feel lonely,spiritually,Reclaim Your Heart by Yasmin Mogahed
I feel lonely today,emotionally,Healing the Shame That Binds You by John Bradshaw
I feel lonely recently,emotionally,Emotional Intelligence by Daniel Goleman
I am tired recently,physically,Why We Sleep by Matthew Walker
I am tired lately,physically,Why We Sleep by Matthew Walker
I am tired lately,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am tired today,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired right now,mentally,Atomic Habits by James Clear
I am tired lately,mentally,Atomic Habits by James Clear
I am tired recently,physically,Why We Sleep by Matthew Walker
I am tired lately,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired lately,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am tired.,mentally,Atomic Habits by James Clear
I am tired,physically,Why We Sleep by Matthew Walker
I am tired lately,mentally,Atomic Habits by James Clear
I am tired,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am tired right now,physically,Why We Sleep by Matthew Walker
I am tired,mentally,Atomic Habits by James Clear
I am tired,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am tired recently,mentally,Atomic Habits by James Clear
I am tired today,mentally,Atomic Habits by James Clear
I am tired,mentally,Atomic Habits by James Clear
I am tired right now,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am tired today,mentally,Atomic Habits by James Clear
I am tired lately,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired.,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am tired.,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired lately,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired,mentally,Atomic Habits by James Clear
I am tired today,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired.,physically,Why We Sleep by Matthew Walker
I am tired today,mentally,Atomic Habits by James Clear
I am tired.,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired.,physically,Why We Sleep by Matthew Walker
I am tired right now,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired today,mentally,Atomic Habits by James Clear
I am tired,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired right now,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
I am tired.,physically,Spark: The Revolutionary New Science of Exercise and the Brain
I am tired recently,mentally,The Subtle Art of Not Giving a F*ck by Mark Manson
